,project_phase,User_uid,Cat,Fox,Marten,Raccoon,garden_type,garden_size,Local_tree_cover,fence_height,compost,pop_100,dist_water_100,imperv_100,noise_100,tree_cover_100,distance_border,inside,season,covid,dist_border,pop_100m
59,1,169,0,3,0,17,Wohngrundstueck,400,10,80,Geschlossen,51.51932526,556.1629639,72.54762268,54.56430054,25.33958244,2930.599032,1,Fall,No,2918.60903,52.15805449
60,1,170,1,0,0,0,Kleingarten,399,5,150,Keiner,0.094424248,608.541748,69.20425415,59.92666245,42.03221512,5798.391168,1,Fall,No,5928.784476,0.159525845
61,1,171,12,2,0,7,Wohngrundstueck,500,5,80,Geschlossen,43.02320099,395.6181335,58.82541275,60.60368347,37.85431671,1940.407064,1,Fall,No,1931.40886,48.84873995
62,1,172,10,3,1,23,Kleingarten,500,30,50,Offen,84.29429626,695.1005249,99.28173828,61.58306885,1.28412056,7172.635847,1,Fall,No,7172.699251,106.638075
63,1,177,68,26,11,5,Wohngrundstueck,1000,25,250,Offen,23.93693733,1145.931885,62.17948151,53.11184692,44.67247391,3636.749201,1,Fall,No,3594.49568,19.53046922
64,1,181,0,7,0,0,Kleingarten,300,15,120,Offen,238.2047882,737.083313,40.12180328,52.45933914,49.71769333,5655.88027,1,Fall,No,5633.910628,258.0555412
65,1,183,14,2,1,0,Wohngrundstueck,280,0,90,Offen,51.93999863,847.9822388,26.45487785,51.92141724,62.92425537,1201.404116,1,Fall,No,1192.398094,52.21382875
66,1,184,5,2,0,0,Wohngrundstueck,250,30,140,Keiner,57.28023529,934.6735229,58.79063797,50.25037766,27.04029655,1956.135097,1,Fall,No,1942.855205,65.18008063
67,1,188,2,2,0,4,Kleingarten,500,25,120,Offen,3.539999962,186.4562836,46.54721832,47.33052826,65.73828888,3035.766456,1,Fall,No,2956.900174,3.540638036
68,1,189,29,1,1,3,Wohngrundstueck,1000,20,180,Offen,43.68305588,1124.44751,49.66180038,62.00765991,44.51776886,4516.801009,1,Fall,No,4492.399619,51.37703937
69,1,190,7,2,0,4,Kleingarten,250,5,100,Geschlossen,137.5998535,652.286438,80.93816376,66.84656525,11.72492409,6633.593606,1,Fall,No,6594.343451,147.0089254
70,1,197,0,1,1,1,Wohngrundstueck,1000,10,160,Offen,29.18590927,315.244873,59.46157455,50.34862137,49.15097809,2657.710113,1,Fall,No,2621.002854,28.97154971
71,1,199,52,2,38,14,Wohngrundstueck,700,10,120,Geschlossen,28.83862686,497.1752625,46.97340012,52.66749191,51.57540512,2760.009537,1,Fall,No,2736.467115,28.16120401
72,1,202,98,0,0,2,Wohngrundstueck,240,2,80,Keiner,75.59972382,565.8851929,40.42905426,52.29940414,59.76315689,4694.561617,1,Fall,No,4691.544999,77.57919994
73,1,203,46,18,0,116,Wohngrundstueck,400,5,100,Offen,89.64149475,472.9292297,53.85857391,62.94536591,43.63832855,6328.415923,1,Fall,No,6285.149727,105.8870492
74,1,207,11,0,2,0,Kleingarten,250,25,110,Offen,0.241989151,423.2352295,51.477211,54.50786972,66.51178741,4269.513423,1,Fall,No,4267.997578,0.301288773
75,1,208,12,3,0,0,Wohngrundstueck,600,20,120,Offen,47.33744431,505.8432007,67.22708893,49.83325577,35.18027115,3347.067808,1,Fall,No,3348.401887,46.38655527
76,1,209,4,1,0,0,Kleingarten,400,15,120,Offen,0,416.6096802,6.924727917,47.24860001,9.687761307,1966.347074,1,Fall,No,1968.528904,0
77,1,210,17,1,0,0,Wohngrundstueck,130,5,120,Geschlossen,103.3287277,1019.091309,33.77428818,54.4116478,52.52322388,757.1418538,1,Fall,No,747.1453997,93.0480554
78,1,212,14,3,0,2,Wohngrundstueck,800,5,120,Offen,30.45676041,811.2139282,59.08216476,63.96165085,49.74482346,3465.68781,1,Fall,No,3464.461489,30.69912058
79,1,215,18,21,0,1,Wohngrundstueck,1100,15,0,Offen,226.6135254,721.3817139,91.34913635,45.60728073,3.197033405,6083.676571,1,Fall,No,6083.944683,216.4964121
80,1,216,3,0,0,0,Wohngrundstueck,80,10,100,Offen,24.89243317,186.8292542,30.11880112,52.82607651,8.080498695,525.5128252,1,Fall,No,533.2792438,21.83913038
81,1,222,19,1,2,0,Kleingarten,430,20,0,Geschlossen,0,659.4147949,49.8706398,64.0560379,66.18172455,1974.148725,1,Fall,No,1978.468178,0
82,1,224,43,1,0,0,Wohngrundstueck,800,15,80,Keiner,24.74119377,1801.120483,36.33193588,54.73746109,52.85066605,2640.309983,1,Fall,No,2626.508917,26.9652282
83,1,226,4,0,1,1,Kleingarten,400,10,100,Offen,104.5921021,385.1913452,59.63186264,65.77635193,34.00910187,4880.759574,1,Fall,No,4880.990423,121.392783
84,1,227,3,0,0,0,Wohngrundstueck,200,5,90,Offen,138.5397491,127.2220001,76.66151428,49.02262497,21.42155838,4819.097473,1,Fall,No,4823.069219,169.9306748
85,1,229,2,15,0,0,Kleingarten,200,15,0,Geschlossen,91.66624451,77.15526581,65.68465424,51.17606354,34.32522202,8127.540378,1,Fall,No,8069.806695,92.14416058
86,1,230,1,2,0,0,Kleingarten,330,6,120,Geschlossen,0,960.0314331,54.19495392,70.00892639,54.99533844,6018.264909,1,Fall,No,5951.360053,0
87,1,231,41,2,0,5,Wohngrundstueck,520,60,200,Keiner,37.13739777,461.4096069,67.29515076,56.69295502,40.85339737,3192.694887,1,Fall,No,3125.349597,39.12526368
88,1,232,2,6,0,0,Wohngrundstueck,900,30,150,Offen,28.14400864,841.4555664,63.41891861,55.37731552,40.12611008,1948.460402,1,Fall,No,1894.986228,26.30507009
89,1,233,10,0,0,1,Kleingarten,600,20,110,Offen,6.484870434,155.033432,47.78392029,48.614151,54.99917603,1121.562811,1,Fall,No,1118.216457,6.569728689
90,1,234,2,0,0,0,Wohngrundstueck,450,10,140,Geschlossen,33.34999847,116.3855133,32.03271866,41.78274536,5.098310947,84.96907045,1,Fall,No,109.2234582,33.34999979
